ref;traduction;code;paragraphe;statut;raison
Apocalypse 20:0;SKN;60-1225;105;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Apocalypse 10:0;SKN;65-0718M;147;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Malachie 4:0;SKN;65-0718M;147;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Malachie 4:0;SKN;63-0317M;213;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
1 Corinthiens 12:0;SKN;63-0324M;7;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
1 Rois 17:0;SKN;63-0324M;369;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
1 Rois 19:0;SKN;63-0324M;330;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Apocalypse 6:0;SKN;63-0324M;272;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Apocalypse 16:0;SKN;63-0324M;367;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Jean 10:0;SKN;63-0324M;327;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Malachie 3:0;SKN;63-0324M;330;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Malachie 4:0;SKN;63-0324M;329;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Matthieu 5:0;SKN;63-0324M;142;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Matthieu 24:0;SKN;63-0324M;69;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
1 Corinthiens 12:0;SKN;52-0900;187;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Actes 19:0;SKN;52-0900;172;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Jean 11:0;SKN;52-0900;148;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
