ref;occurrences;fichier
1 Chroniques 13:6;2;13-1-chroniques.md
1 Chroniques 17:1;1;13-1-chroniques.md
1 Chroniques 17:10;1;13-1-chroniques.md
1 Chroniques 17:24;1;13-1-chroniques.md
1 Chroniques 17:4;1;13-1-chroniques.md
1 Chroniques 17:5;1;13-1-chroniques.md
1 Chroniques 17:6;1;13-1-chroniques.md
1 Chroniques 17:7;1;13-1-chroniques.md
1 Chroniques 17:8;1;13-1-chroniques.md
1 Corinthiens 11:23;1;46-1-corinthiens.md
1 Corinthiens 11:24;2;46-1-corinthiens.md
1 Corinthiens 11:25;1;46-1-corinthiens.md
1 Corinthiens 11:26;1;46-1-corinthiens.md
1 Corinthiens 11:27;1;46-1-corinthiens.md
1 Corinthiens 11:28;1;46-1-corinthiens.md
1 Corinthiens 11:29;1;46-1-corinthiens.md
1 Corinthiens 11:30;1;46-1-corinthiens.md
1 Corinthiens 11:31;1;46-1-corinthiens.md
1 Corinthiens 11:32;1;46-1-corinthiens.md
1 Corinthiens 12:10;3;46-1-corinthiens.md
1 Corinthiens 12:12;2;46-1-corinthiens.md
1 Corinthiens 12:13;3;46-1-corinthiens.md
1 Corinthiens 12:2;1;46-1-corinthiens.md
1 Corinthiens 12:26;1;46-1-corinthiens.md
1 Corinthiens 12:28;21;46-1-corinthiens.md
1 Corinthiens 12:29;11;46-1-corinthiens.md
1 Corinthiens 12:30;2;46-1-corinthiens.md
1 Corinthiens 12:31;2;46-1-corinthiens.md
1 Corinthiens 12:8;1;46-1-corinthiens.md
1 Corinthiens 13:1;3;46-1-corinthiens.md
1 Corinthiens 13:11;1;46-1-corinthiens.md
1 Corinthiens 13:12;1;46-1-corinthiens.md
1 Corinthiens 13:14;1;46-1-corinthiens.md
1 Corinthiens 13:2;3;46-1-corinthiens.md
1 Corinthiens 13:3;1;46-1-corinthiens.md
1 Corinthiens 13:8;2;46-1-corinthiens.md
1 Corinthiens 15:29;1;46-1-corinthiens.md
1 Corinthiens 15:52;1;46-1-corinthiens.md
1 Corinthiens 15:54;1;46-1-corinthiens.md
1 Jean 16:7;1;62-1-jean.md
1 Jean 1:10;2;62-1-jean.md
1 Jean 1:7;2;62-1-jean.md
1 Jean 1:8;2;62-1-jean.md
1 Jean 1:9;2;62-1-jean.md
1 Jean 2:1;2;62-1-jean.md
1 Jean 2:12;1;62-1-jean.md
1 Jean 2:15;1;62-1-jean.md
1 Jean 2:2;1;62-1-jean.md
1 Jean 3:21;2;62-1-jean.md
1 Jean 4:3;1;62-1-jean.md
1 Jean 5:1;1;62-1-jean.md
1 Jean 5:16;2;62-1-jean.md
1 Jean 5:18;1;62-1-jean.md
1 Jean 5:7;8;62-1-jean.md
1 Pierre 1:18;1;60-1-pierre.md
1 Pierre 1:19;1;60-1-pierre.md
1 Pierre 1:20;1;60-1-pierre.md
1 Pierre 3:18;2;60-1-pierre.md
1 Pierre 3:19;3;60-1-pierre.md
1 Pierre 3:20;1;60-1-pierre.md
1 Pierre 5:8-10;1;60-1-pierre.md
1 Rois 13:22;1;11-1-rois.md
1 Rois 13:4;1;11-1-rois.md
1 Rois 19:1;2;11-1-rois.md
1 Rois 19:10;2;11-1-rois.md
1 Rois 19:11;2;11-1-rois.md
1 Rois 19:12;2;11-1-rois.md
1 Rois 19:13;1;11-1-rois.md
1 Rois 19:14;1;11-1-rois.md
1 Rois 19:19;1;11-1-rois.md
1 Rois 19:2;1;11-1-rois.md
1 Rois 19:21;1;11-1-rois.md
1 Rois 19:3;1;11-1-rois.md
1 Rois 19:4;1;11-1-rois.md
1 Rois 19:5;1;11-1-rois.md
1 Rois 19:6;1;11-1-rois.md
1 Rois 19:7;1;11-1-rois.md
1 Rois 19:8;1;11-1-rois.md
1 Rois 19:9;2;11-1-rois.md
1 Samuel 18:10;1;09-1-samuel.md
1 Samuel 8:4;1;09-1-samuel.md
1 Thessaloniciens 4:16;1;52-1-thessaloniciens.md
1 Thessaloniciens 5:21;1;52-1-thessaloniciens.md
1 Timothee 2:9;1;54-1-timothee.md
1 Timothee 3:16;115;54-1-timothee.md
1 corinthiens 13:13;1;46-1-corinthiens.md
2 Chroniques 18:12;1;14-2-chroniques.md
2 Chroniques 18:22;2;14-2-chroniques.md
2 Chroniques 18:23;2;14-2-chroniques.md
2 Chroniques 18:24;2;14-2-chroniques.md
2 Chroniques 18:25;2;14-2-chroniques.md
2 Chroniques 18:26;2;14-2-chroniques.md
2 Chroniques 18:27;2;14-2-chroniques.md
2 Chroniques 26:1;1;14-2-chroniques.md
2 Chroniques 26:11;1;14-2-chroniques.md
2 Chroniques 26:15;1;14-2-chroniques.md
